Rank,Name,Walk Score,Transit Score,Bike Score,Population
212,Mariners Harbor,62,57,47,"15,325"
213,Silver Lake,61,60,34,"2,805"
214,Emerson Hill,61,59,31,"5,387"
215,Gerritsen Beach,60,59,59,"7,199"
216,Alley Park,59,56,53,547
217,Tottenville,59,53,45,"14,635"
218,Pleasant Plains,58,49,44,"3,603"
219,Fort Wadsworth,58,65,66,"2,376"
220,Travis - Chelsea,58,45,44,"2,948"
221,Willowbrook,57,52,40,"9,688"
222,Grymes Hill,57,64,29,"5,252"
223,Ocean Breeze,56,57,53,"2,626"
224,Spencer Estates,56,69,45,"3,578"
225,Rossville,55,44,40,"9,847"
226,New Springville,55,58,56,"20,741"
227,Oakwood,55,61,49,"11,991"
228,Prince's Bay,52,52,55,"6,342"
229,Sea Gate,50,47,47,"4,638"
230,Broad Channel,48,65,54,"2,412"
231,Todt Hill,48,53,26,"2,003"
232,Bay Terrace,48,61,47,"4,457"
233,Annadale,48,52,40,"10,021"
234,Fort Hamilton,47,66,64,763
235,Huguenot,45,49,39,"8,671"
236,Woodrow,44,45,46,"10,780"
237,Lighthouse Hill,42,46,32,"1,766"
238,Greenridge,42,59,34,"9,021"
239,Arden Heights,40,45,33,"10,460"
240,Bloomfield,38,55,48,513
241,Charleston,36,43,33,"2,002"
242,Randalls-Wards Island,26,68,62,"1,625"
243,Rikers Island,3,36,25,"10,681"
